Commodity,flow,series_id
32511 Petrochemicals,export,557
32511 Petrochemicals,import,558
325110 Petrochemicals,export,559
325110 Petrochemicals,import,560
32512 Industrial Gases,export,561
32512 Industrial Gases,import,562
325120 Industrial Gases,export,563
325120 Industrial Gases,import,564
32513 Synthetic Dyes & Pigments,export,565
32513 Synthetic Dyes & Pigments,import,566
325130 Synthetic  Dyes & Pigments,export,567
325130 Synthetic  Dyes & Pigments,import,568
32518 Other Basic Inorganic Chemicals,export,569
32518 Other Basic Inorganic Chemicals,import,570
325180 All Other Basic Inorganic Chemicals,export,571
325180 All Other Basic Inorganic Chemicals,import,572
32519 Other Basic Organic Chemicals,export,573
32519 Other Basic Organic Chemicals,import,574
325193 Ethyl Alcohols,export,575
325193 Ethyl Alcohols,import,576
"325194 Cyclic Crude & Intermediate, & Gum & Wood Chemical",export,577
"325194 Cyclic Crude & Intermediate, & Gum & Wood Chemical",import,578
325199 All Other Basic Organic Chemicals,export,579
325199 All Other Basic Organic Chemicals,import,580
"3252 Resin, Syn Rubber, Artf & Syn Fibers/fil",export,581
"3252 Resin, Syn Rubber, Artf & Syn Fibers/fil",import,582
32521 Resin & Synthetic Rubbers,export,583
32521 Resin & Synthetic Rubbers,import,584
325211 Plastics Materials & Resins,export,585
325211 Plastics Materials & Resins,import,586
325212 Synthetic Rubber (vulcanizable Elastomers),export,587
325212 Synthetic Rubber (vulcanizable Elastomers),import,588
32522 Artificial & Synthetic Fibers & Filaments,export,589
32522 Artificial & Synthetic Fibers & Filaments,import,590
325220 Artificial And Synthetic Fibers And Filaments,export,591
325220 Artificial And Synthetic Fibers And Filaments,import,592
"3253 Pesticides, Fertilizers & Oth Agri Chemicals",export,593
"3253 Pesticides, Fertilizers & Oth Agri Chemicals",import,594
32531 Fertilizers,export,595
32531 Fertilizers,import,596
325311 Nitrogenous Fertilizers,export,597
325311 Nitrogenous Fertilizers,import,598
325312 Phosphatic Fertilizers,export,599
325312 Phosphatic Fertilizers,import,600
32532 Pesticides & Other Agricultural Chemicals,export,601
32532 Pesticides & Other Agricultural Chemicals,import,602
325320 Pesticides & Other Agricultural Chemicals,export,603
325320 Pesticides & Other Agricultural Chemicals,import,604
3254 Pharmaceuticals & Medicines,export,605
3254 Pharmaceuticals & Medicines,import,606
32541 Pharmaceuticals & Medicines,export,607
32541 Pharmaceuticals & Medicines,import,608
325411 Medicinal & Botanical Drugs & Vitamins,export,609
325411 Medicinal & Botanical Drugs & Vitamins,import,610
325412 Pharmaceutical Preparations,export,611
325412 Pharmaceutical Preparations,import,612
325413 In-vitro Diagnostic Substance,export,613
325413 In-vitro Diagnostic Substance,import,614
325414 Biological Products (exc Diagnostic),export,615
325414 Biological Products (exc Diagnostic),import,616
"3255 Paints, Coatings & Adhesives",export,617
"3255 Paints, Coatings & Adhesives",import,618
32551 Paints & Coatings,export,619
32551 Paints & Coatings,import,620
325510 Paints & Coatings,export,621
325510 Paints & Coatings,import,622
32552 Adhesives,export,623
32552 Adhesives,import,624
325520 Adhesives,export,625
325520 Adhesives,import,626
"3256 Soaps, Cleaning Compounds & Toilet Preparations",export,627
"3256 Soaps, Cleaning Compounds & Toilet Preparations",import,628
32561 Soaps & Cleaning Compounds,export,629
32561 Soaps & Cleaning Compounds,import,630
325611 Soaps & Other Detergents,export,631
325611 Soaps & Other Detergents,import,632
325612 Polishes & Other Sanitation Goods,export,633
325612 Polishes & Other Sanitation Goods,import,634
325613 Surface Active Agents,export,635
325613 Surface Active Agents,import,636
"32562 Perfumes, Makeups & Other Toiletries",export,637
"32562 Perfumes, Makeups & Other Toiletries",import,638
"325620 Perfumes, Makeups & Other Toiletries",export,639
"325620 Perfumes, Makeups & Other Toiletries",import,640
3259 Other Chemical Products & Preparations,export,641
3259 Other Chemical Products & Preparations,import,642
32591 Printing Inks,export,643
32591 Printing Inks,import,644
325910 Printing Inks,export,645
325910 Printing Inks,import,646
32592 Explosives & Accessories,export,647
32592 Explosives & Accessories,import,648
325920 Explosives & Accessories,export,649
325920 Explosives & Accessories,import,650
32599 All Other Chemical Products & Preparations,export,651
32599 All Other Chemical Products & Preparations,import,652
"325992 Photo Films, Papers, Plates & Chemicals",export,653
"325992 Photo Films, Papers, Plates & Chemicals",import,654
325998 All Oth Misc Chem Products & Preps (incl Natural),export,655
325998 All Oth Misc Chem Products & Preps (incl Natural),import,656
326 Plastics & Rubber Products,export,657
326 Plastics & Rubber Products,import,658
3261 Plastics Products,export,659
3261 Plastics Products,import,660
"32611 Plastics, Films, Sheets & Bags",export,661
"32611 Plastics, Films, Sheets & Bags",import,662
326111 Plastic Bag And Pouch,export,663
326111 Plastic Bag And Pouch,import,664
"326113 Not Rein Plastics Plates, Sheets, Etc (exc Pkg)",export,665
"326113 Not Rein Plastics Plates, Sheets, Etc (exc Pkg)",import,666
"32612 Plastics Pipes, Pipe Fittings & Profile Shapes",export,667
"32612 Plastics Pipes, Pipe Fittings & Profile Shapes",import,668
"326121 Plastics Rods, Sticks & Profile Shapes",export,669
"326121 Plastics Rods, Sticks & Profile Shapes",import,670
"326122 Plastics Tubes, Hoses, Pipes & Pipe Fittings",export,671
"326122 Plastics Tubes, Hoses, Pipes & Pipe Fittings",import,672
32616 Plastics Bottles,export,673
