Commodity,flow,mu,sd
31214 Distilled Liquors,import,20.25180213116805,0.22924794544023588
312140 Distilled Liquors,export,18.91940354617363,0.21658510667028788
312140 Distilled Liquors,import,20.25180213116805,0.22924794544023588
3122 Tobacco Products,export,17.769988822205598,0.6305607367565915
3122 Tobacco Products,import,18.703541245578194,0.20462363353144228
31223 Tobacco Products,export,17.769988822205598,0.6305607367565915
31223 Tobacco Products,import,18.703541245578194,0.20462363353144228
312230 Tobacco Or Cigarette  Products,export,17.769988822205598,0.6305607367565915
312230 Tobacco Or Cigarette  Products,import,18.703541245578194,0.20462363353144228
313 Textiles & Fabrics,export,20.432774307869703,0.11983377813702602
313 Textiles & Fabrics,import,20.406158982209952,0.1086977639704255
"3131 Fibers, Yarns & Threads",export,18.881009754748757,0.297808372913216
"3131 Fibers, Yarns & Threads",import,17.8819948147855,0.143613610517219
"31311 Fibers, Yarns & Threads",export,18.881009754748757,0.297808372913216
"31311 Fibers, Yarns & Threads",import,17.8819948147855,0.143613610517219
"313110 Fibers, Yarns, & Threads",export,18.881009754748757,0.297808372913216
"313110 Fibers, Yarns, & Threads",import,17.8819948147855,0.143613610517219
3132 Fabrics,export,19.982337817883934,0.09067982857812062
3132 Fabrics,import,20.129522754286295,0.11347664560406391
31321 Broadwoven Fabrics,export,18.791439686611554,0.1678991190129748
31321 Broadwoven Fabrics,import,19.310653648415077,0.119908394910871
313210 Broadwoven Fabrics,export,18.791439686611554,0.1678991190129748
313210 Broadwoven Fabrics,import,19.310653648415077,0.119908394910871
31322 Narrow Fabrics,export,18.146171702426532,0.10509316467583844
31322 Narrow Fabrics,import,18.22084460950538,0.14834496771236197
313220 Narrow Fabrics & Schiffli Machine Embroidery,export,18.146171702426532,0.10509316467583844
313220 Narrow Fabrics & Schiffli Machine Embroidery,import,18.22084460950538,0.14834496771236197
31323 Nonwoven Fabrics,export,19.01577533721142,0.0898210888436181
31323 Nonwoven Fabrics,import,18.75847097194834,0.21841182375499052
313230 Nonwoven Fabrics,export,19.01577533721142,0.0898210888436181
313230 Nonwoven Fabrics,import,18.75847097194834,0.21841182375499052
31324 Knit Fabrics & Lace,export,18.09173285775295,0.2030862003323698
31324 Knit Fabrics & Lace,import,18.236327680563605,0.15951877209188253
313240 Knit Fabrics,export,18.09173285775295,0.2030862003323698
313240 Knit Fabrics,import,18.236327680563605,0.15951877209188253
3133 Finished & Coated Textile Fabrics,export,18.514053068357377,0.14084348501954122
3133 Finished & Coated Textile Fabrics,import,18.57847304872871,0.10962735978504637
31332 Coated Fabrics,export,18.514053068357377,0.14084348501954122
31332 Coated Fabrics,import,18.57847304872871,0.10962735978504637
313320 Coated Fabrics,export,18.514053068357377,0.14084348501954122
313320 Coated Fabrics,import,18.57847304872871,0.10962735978504637
314 Textile Mill Products,export,19.427917181909397,0.07903934606669127
314 Textile Mill Products,import,21.432469126553535,0.2264244326844436
3141 Textile Furnishings,export,18.73586469932833,0.12408079245760141
3141 Textile Furnishings,import,20.97708403450132,0.16771261746116656
31411 Carpets & Rugs,export,18.106147995684246,0.16105859434024475
31411 Carpets & Rugs,import,19.342063165899358,0.1767752416904162
314110 Carpets & Rugs,export,18.106147995684246,0.16105859434024475
314110 Carpets & Rugs,import,19.342063165899358,0.1767752416904162
31412 Curtains & Linens,export,17.96976820584761,0.11746096800947979
31412 Curtains & Linens,import,20.75847045558067,0.17639417695801446
314120 Curtains And Linens,export,17.96976820584761,0.11746096800947979
314120 Curtains And Linens,import,20.75847045558067,0.17639417695801446
3149 Other Textile Products,export,18.723099364394226,0.13842052871446367
3149 Other Textile Products,import,20.375060192720188,0.3848450506264474
31491 Textile Bags & Canvas,export,16.98109593283811,0.21737374023447426
31491 Textile Bags & Canvas,import,18.933149630350144,0.19336350498862542
